city_id,restaurant_id,food_id,food_name,price,is_dinner,food_type,cuisine,Beijing,Tianjin,Hebei,Shanxi,Nei Mongol,Liaoning,Jilin,Heilongjiang,Shanghai,Jiangsu,Zhejiang,Anhui,Fujian,Jiangxi,Shandong,Henan,Hubei,Hunan,Guangdong,Guangxi,Hainan,Chongqing,Sichuan,Guizhou,Yunnan,Xizang,Shanxi2,Gansu,Qinghai,Ningxia,Xinjiang,not-spicy,slightly-spicy,medium-spicy,extra-spicy,child,teenager,adult,middle-ager,elderly,breakfast,lunch,dinner,afternoon-tea,night-snack,male,female,spring,summer,autumn,winter,food_score,image_name
3,14,6,ºÂ±˝π˚◊”,15,0,1,3,3,4,4,3,3,3,3,3,4,4,4,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,3,3,3,3,3,4,2,2,2,2,3,3,3,3,3,3,3,3-14-6.jpg
3,14,7,¥–…’∫£≤Œ,128,1,1,3,4,4,4,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,4,4,4,4,4,1,3,3,2,1,4,4,3,3,3,4,4,3-14-7.jpg
3,14,8, ≤ΩıÀÿ∞¸◊”,24,0,1,3,3,4,4,3,3,3,3,3,4,4,4,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,3,3,3,3,3,4,2,2,2,2,3,3,3,3,3,3,4,3-14-8.jpg
3,14,9,ΩÚπ¡À´∆¥,68,1,1,3,3,4,4,3,3,3,3,3,4,4,4,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,3,3,3,3,3,4,2,2,2,2,3,3,3,3,3,3,5,3-14-9.jpg
3,14,10,œ∫» √ÊΩÓ,23,1,1,3,3,3,3,3,3,3,2,2,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,3,3,3,3,4,1,3,3,1,1,3,4,4,4,3,3,5,3-14-10.jpg
3,15,1,æ¢¥‡º¶Õ»±§∂πƒ‡≤Õ,39,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,1,3-15-1.jpg
3,15,2,œ„¿±º¶≥·’®º¶,12,0,1,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,1,3-15-2.jpg
3,15,3, ÌÃı,7.5,0,2,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,2,3-15-3.jpg
3,15,4,¿œ±±æ©º¶»‚æÌ,18,1,2,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,2,3-15-4.jpg
3,15,5,¥ºœ„Õ¡∂πƒ‡,6,0,2,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3-15-5.jpg
3,15,6,¥º∂πΩ¨,9,3,1,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3-15-6.jpg
3,15,7,÷• ø÷≠÷≠ƒ€≈£±§,19.9,1,2,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,4,3-15-7.jpg
3,15,8,ﬁº¬Ûµ∞Ã¢π˚≤Ë…≥¿≤≤Õ,41,0,2,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,4,3-15-8.jpg
3,15,9,‘≠Œ∂ •¥˙,11.5,0,2,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,5,3-15-9.jpg
